Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Unilever,UL,Sell,Filled,15,15,@62.02,62.02,DAY,10/16/2025 16:26:39 EDT,10/16/2025 16:26:39 EDT
Webster Financial,WBS,Sell,Filled,15,15,@53.60,53.60,DAY,10/16/2025 15:33:57 EDT,10/16/2025 15:34:00 EDT
Hertz Global Hld,HTZ,Short,Filled,25,25,@5.86,5.86,DAY,10/16/2025 13:35:11 EDT,10/16/2025 13:38:51 EDT
W.R Berkley,WRB,Buy,Filled,10,10,@73.73,73.73,DAY,10/16/2025 12:56:33 EDT,10/16/2025 12:56:33 EDT
Webster Financial,WBS,Buy,Filled,15,15,@55.61,55.61,DAY,10/16/2025 12:55:55 EDT,10/16/2025 12:55:55 EDT
United Airlines Holdings Inc,UAL,Buy,Filled,5,5,@95.54,95.54,DAY,10/16/2025 12:54:46 EDT,10/16/2025 12:54:46 EDT
Taylor Morrison Home Corp,TMHC,Buy,Filled,10,10,@61.19,61.19,DAY,10/16/2025 12:53:40 EDT,10/16/2025 12:55:09 EDT
Schrodinger  Inc.,SDGR,Short,Filled,20,20,@21.02,21.02,DAY,10/16/2025 12:50:59 EDT,10/16/2025 12:50:59 EDT
Papa Johns Intl Inc,PZZA,Short,Filled,15,15,@52.38,52.38,DAY,10/16/2025 12:48:58 EDT,10/16/2025 12:48:58 EDT
Option Care Health Inc,OPCH,Buy,Filled,25,25,@27.31,27.31,DAY,10/16/2025 12:48:06 EDT,10/16/2025 12:48:06 EDT
Banc Of California Inc,BANC,Short,Filled,15,15,@15.87,15.87,DAY,10/16/2025 12:20:32 EDT,10/16/2025 12:20:32 EDT
ASP Isotopes,ASPI,Sell,Filled,10,10,@11.88,11.88,DAY,10/16/2025 11:51:06 EDT,10/16/2025 11:51:06 EDT
Publ Svc Enter,PEG,Sell,Filled,10,10,@85.13,85.13,DAY,10/16/2025 09:31:16 EDT,10/16/2025 09:31:27 EDT
Fluor Corp,FLR,Sell,Filled,20,20,@51.44,51.44,DAY,10/16/2025 09:30:50 EDT,10/16/2025 09:37:20 EDT
Fluor Corp,FLR,Sell,Filled,5,5,@51.50,51.50,DAY,10/16/2025 08:45:53 EDT,10/16/2025 09:23:07 EDT
Academy Sports & Outdoors  Inc.,ASO,Buy,Filled,45,45,@54.97,54.97,DAY,10/16/2025 08:00:46 EDT,10/16/2025 08:00:46 EDT
ASP Isotopes,ASPI,Buy,Filled,10,10,@12.74,12.74,DAY,10/15/2025 12:10:07 EDT,10/15/2025 12:10:07 EDT
iShares US Aerospace & Defense ETF,ITA,Buy,Filled,10,10,@209.07,209.07,DAY,10/15/2025 11:36:53 EDT,10/15/2025 11:36:54 EDT
Fluor Corp,FLR,Sell,Filled,5,5,@51.05,51.05,DAY,10/15/2025 11:13:01 EDT,10/15/2025 11:13:01 EDT
Fluor Corp,FLR,Sell,Filled,20,20,@50.05,50.05,DAY,10/15/2025 09:49:22 EDT,10/15/2025 09:49:22 EDT
Publ Svc Enter,PEG,Buy,Filled,15,15,@84.71,84.71,DAY,10/15/2025 09:39:32 EDT,10/15/2025 09:40:13 EDT
ProShares UltraPro QQQ,TQQQ,Buy,Filled,10,10,@100.49,100.49,DAY,10/14/2025 10:31:10 EDT,10/14/2025 10:31:10 EDT
ProShares UltraPro QQQ,TQQQ,Buy,Filled,10,10,@100.52,100.52,DAY,10/14/2025 10:30:57 EDT,10/14/2025 10:30:57 EDT
Cmb.Tech,CMBT,Short,Filled,25,25,@9.12,9.12,DAY,10/14/2025 10:06:16 EDT,10/14/2025 10:11:29 EDT
Unilever,UL,Buy,Filled,20,20,@60.61,60.61,DAY,10/14/2025 10:05:55 EDT,10/14/2025 10:06:26 EDT
Orla Mng,ORLA,Sell,Filled,65,65,@12.81,12.81,DAY,10/14/2025 10:05:33 EDT,10/14/2025 10:05:41 EDT
Unilever,UL,Buy,Filled,10,10,@60.39,60.39,DAY,10/13/2025 19:45:22 EDT,10/13/2025 19:45:23 EDT
Unilever,UL,Buy,Filled,15,15,@60.39,60.39,DAY,10/13/2025 19:45:00 EDT,10/13/2025 19:45:00 EDT
Nextdecade,NEXT,Sell,Filled,75,75,@6.11,6.11,DAY,10/13/2025 15:57:33 EDT,10/13/2025 16:01:17 EDT
iShares US Aerospace & Defense ETF,ITA,Buy,Filled,10,10,@208.99,208.99,DAY,10/13/2025 14:51:11 EDT,10/13/2025 14:51:11 EDT
Eastern Bankshares  Inc.,EBC,Short,Filled,20,20,@18.08,18.08,DAY,10/13/2025 12:08:53 EDT,10/13/2025 12:08:57 EDT
Cmb.Tech,CMBT,Short,Filled,25,25,@9.61,9.61,DAY,10/13/2025 12:07:11 EDT,10/13/2025 12:28:03 EDT
Orla Mng,ORLA,Buy,Filled,15,15,@11.55,11.55,DAY,10/13/2025 12:03:09 EDT,10/13/2025 12:03:09 EDT
Twist Bioscience,TWST,Short,Filled,10,10,@29.95,29.95,DAY,10/13/2025 12:02:26 EDT,10/13/2025 12:02:26 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,15,15,@51.76,51.76,DAY,10/13/2025 11:07:54 EDT,10/13/2025 11:07:54 EDT
Banc Of California Inc,BANC,Short,Filled,10,10,@16.63,16.63,DAY,10/13/2025 11:07:27 EDT,10/13/2025 11:07:30 EDT
Corebridge Financial Inc,CRBG,Sell,Filled,10,10,@31.50,31.50,DAY,10/13/2025 11:06:40 EDT,10/13/2025 11:06:46 EDT
SOUNDHOUND AI INC,SOUN,Sell,Filled,20,20,@19.17,19.17,DAY,10/13/2025 11:05:46 EDT,10/13/2025 11:05:46 EDT
Serve Robotics,SERV,Sell,Filled,40,40,@15.89,15.89,DAY,10/13/2025 11:05:28 EDT,10/13/2025 11:05:32 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,15,15,@52.07,52.07,DAY,10/13/2025 09:40:42 EDT,10/13/2025 09:40:42 EDT
Academy Sports & Outdoors  Inc.,ASO,Short,Filled,15,15,@51.93,51.93,DAY,10/13/2025 09:36:10 EDT,10/13/2025 09:36:10 EDT
iShares MSCI Brazil ETF,EWZ,Sell,Filled,20,20,@29.09,29.09,DAY,10/13/2025 08:33:10 EDT,10/13/2025 08:33:10 EDT
Unilever,UL,Buy,Filled,10,10,@59.88,59.88,DAY,10/13/2025 07:30:14 EDT,10/13/2025 07:30:14 EDT
Publ Svc Enter,PEG,Buy,Filled,10,10,@80.86,80.86,DAY,10/13/2025 07:06:57 EDT,10/13/2025 07:06:57 EDT
